stock_number,brand,model,sub_type,horse_power,gear_type,fuel_type,mileage,build_year,co2_emission,expected_sales_price,sold_price
XY56886,Honda,Civic,2.0 VTEC,320,Manual,Benzin,47079,2017,176,36900,34299.0
WG39391,Dacia,Duster II,1.2 TCe,125,Manual,Benzin,2614,2018,138,15290,15999.0
EB77631,Nissan,Qashqai,DIGT,140,Manual,Benzin,54581,2019,130,22900,20199.0
EP69677,Seat,Ibiza,1.0 SC 75cv,75,Manual,Benzin,19188,2016,118,10200,10199.0
FW29765,Jeep,Renegade,1.0G 88kw 120cv ,120,Manual,Benzin,17672,2020,145,21799,21399.0
EE03048,Peugeot,308,1.2 e-THP,110,Manual,Benzin,149699,2015,105,9399,9399.0
PW10586,Kia,Sportage,2.0 CRDi,135,Manual,Diesel,92447,2017,132,22500,21999.0
FY93500,Citroen,Berlingo,1.5 BlueHDi,102,Manual,Diesel,7253,2020,113,25290,24299.0
AY39851,Renault,Clio,1.2 16v 75cv Euro 6,73,Manual,Benzin,44044,2016,127,11299,10299.0
HG16710,Seat,Ateca,1.0 TSI,116,Manual,Diesel,34149,2019,123,22299,22299.0
GV95478,Opel,Insignia,1.6 CDTI ,135,Manual,Diesel,86656,2016,104,14499,14499.0
WF47119,Kia,cee'd,1.6 CRDi,135,Manual,Diesel,112115,2016,104,13999,13999.0
NX52927,Dacia,Logan II,1.2,75,Manual,Benzin,38552,2017,117,9999,9999.0
KH86877,Peugeot,308,1.6 BlueHDi 88KW 120CV,120,Manual,Diesel,135219,2016,96,11600,11399.0
US02018,Nissan,Qashqai,1.6,117,Manual,Benzin,86558,2011,144,10990,10999.0
TN86599,Honda,HR-V,1.5,130,Manual,Benzin,37317,2016,134,21200,18899.0
FC64790,Fiat,500,1.2,70,Manual,Benzin,14788,2018,115,12100,12099.0
GC79343,Nissan,Micra,1.2,80,Manual,Benzin,104783,2015,115,7999,7999.0
JZ59761,Hyundai,Tucson,1.6,132,Manual,Benzin,63256,2018,164,18999,18999.0
RW57580,Opel,Crossland X,1.2T,130,Manual,Benzin,38361,2019,117,17750,16899.0
DD79313,Ford,Kuga,1.5 EcoBoost,150,Manual,Benzin,17052,2018,145,21000,18899.0
NY36608,Ford,Kuga,2.0 TDCi,150,Manual,Diesel,83190,2017,120,21500,19699.0
LJ87572,Opel,Corsa,1.2 Selective SS,85,Manual,Benzin,20669,2013,119,7900,7899.0
SB04151,Kia,Niro,1.6 GDi  Híbrido ,104,Automatic,Other,34296,2018,88,19999,19399.0
